Date,Country,City,Specie,count,min,max,median,variance
7/9/2020,MN,Ulan Bator,humidity,240,42.5,87,67.5,1726.25
3/19/2020,MN,Ulan Bator,humidity,264,29,81.5,64.5,2814.27
5/17/2020,MN,Ulan Bator,humidity,264,28,57,37.5,910.63
5/21/2020,MN,Ulan Bator,humidity,264,43,89.5,61.5,2282.77
7/1/2020,MN,Ulan Bator,humidity,264,43,87,59,1056.67
7/21/2020,MN,Ulan Bator,humidity,37,66,84,71,388.59
2/6/2020,MN,Ulan Bator,humidity,240,58,77,72,500.8
2/29/2020,MN,Ulan Bator,humidity,264,58.5,84,72,517.27
3/3/2020,MN,Ulan Bator,humidity,55,75,83,76,93.7
5/13/2020,MN,Ulan Bator,humidity,264,16,59,28,2147.44
5/15/2020,MN,Ulan Bator,humidity,264,21,83,59,3338.23
6/26/2020,MN,Ulan Bator,humidity,264,28,93,59,5709.64
7/14/2020,MN,Ulan Bator,humidity,264,39,87,66,2164.55
1/8/2020,MN,Ulan Bator,humidity,240,60,77,75,222.94
1/23/2020,MN,Ulan Bator,humidity,223,53,76,69,504.34
6/10/2020,MN,Ulan Bator,humidity,264,15.5,80,34.5,4989.51
6/27/2020,MN,Ulan Bator,humidity,264,22,81,44.5,4726.93
1/18/2020,MN,Ulan Bator,humidity,216,60,83,71.5,318.76
1/25/2020,MN,Ulan Bator,humidity,240,47,76,68.5,829.81
2/9/2020,MN,Ulan Bator,humidity,140,59,84,76,443.38
3/28/2020,MN,Ulan Bator,humidity,264,9.5,78,37.5,6139.44
4/14/2020,MN,Ulan Bator,humidity,264,24,76.5,43,2346.39
7/12/2020,MN,Ulan Bator,humidity,248,42,93,68,3471.16
7/15/2020,MN,Ulan Bator,humidity,264,28,77,51.5,2532.28
1/7/2020,MN,Ulan Bator,humidity,240,68,84,75,125.1
1/19/2020,MN,Ulan Bator,humidity,216,49,83,75.5,601.95
6/24/2020,MN,Ulan Bator,humidity,264,56,90,79,835.97
7/6/2020,MN,Ulan Bator,humidity,264,34,87,60.5,3291.11
3/30/2020,MN,Ulan Bator,humidity,264,20,68,38.5,2389.68
4/19/2020,MN,Ulan Bator,humidity,264,23,74.5,50.5,2884.95
7/5/2020,MN,Ulan Bator,humidity,264,35.5,87,55,2946.3
3/7/2020,MN,Ulan Bator,humidity,264,54,88.5,77,1115.96
5/3/2020,MN,Ulan Bator,humidity,264,10.5,86,30,9621.61
4/11/2020,MN,Ulan Bator,humidity,264,9,45.5,14,1599.32
6/8/2020,MN,Ulan Bator,humidity,264,28,84,54.5,2648.84
6/29/2020,MN,Ulan Bator,humidity,264,32,90,56,4098.09
1/13/2020,MN,Ulan Bator,humidity,216,56.5,76,68,250.95
2/2/2020,MN,Ulan Bator,humidity,240,49,74,67,409.58
7/16/2020,MN,Ulan Bator,humidity,264,69.5,81,71.5,93.88
7/18/2020,MN,Ulan Bator,humidity,264,34,86,56,3496.36
4/13/2020,MN,Ulan Bator,humidity,264,14,51,25,1216.97
7/11/2020,MN,Ulan Bator,humidity,240,52.5,87,69.5,1856.69
